id,idx,sex,age,schooling,income,visitation,start,deslocation_time,permanence,fuel_consumption,vehicle_with_engine,distance,age_dummy,schooling_dummy,years_dummy,fuel_price,fuel_cost,travel_cost,start_clean,distance_fixed,income_mid,travel_cost_new,age_old_dummy,schooling_below_dummy,income_dummy,sex_dummy
75,75,Feminino,36 a 59 anos,Doutorado,acima de 5,1,Goiania,180,mais de duas horas,146.2,Gasolina,73.1,1,1,0,5.87,858.194,858.194,Goiania,73.1,1818,44.05271818181818,1,0,0,1
76,76,Feminino,19 a 35 anos,Mestre,acima de 3 ate 5,1,Silvania,32,mais de duas horas,15.8,Álcool,8,1,1,1,3.65,57.67,57.67,Silvania,8,970,4.512727272727273,0,0,0,1
77,77,Masculino,36 a 59 anos,Especializacao completa,acima de 1 ate 3,1,Silvania,34,mais de duas horas,15.8,Gasolina,8,0,1,0,5.87,92.746,92.746,Silvania,8,485,4.336363636363637,1,0,1,0
78,78,Feminino,36 a 59 anos,Especializacao completa,acima de 1 ate 3,1,Silvania,34,mais de duas horas,15.8,Álcool,8,0,1,0,3.65,57.67,57.67,Silvania,8,485,4.336363636363637,1,0,1,1
79,79,Masculino,36 a 59 anos,Especializacao completa,acima de 3 ate 5,1,Silvania,34,mais de duas horas,15.8,Diesel,8,1,1,0,6.18,97.644,97.644,Silvania,8,970,4.512727272727273,1,0,0,0
80,80,Masculino,36 a 59 anos,Especializacao completa,acima de 5,1,Vianopolis,72,mais de duas horas,54.4,Gasolina,27.2,1,1,0,5.87,319.328,319.328,Vianopolis,27.2,1818,16.391709090909092,1,0,0,0
81,81,Feminino,36 a 59 anos,Especializacao completa,acima de 1 ate 3,1,Vianopolis,72,mais de duas horas,54.4,Gasolina,27.2,0,1,0,5.87,319.328,319.328,Vianopolis,27.2,485,14.743636363636364,1,0,1,1
82,82,Feminino,36 a 59 anos,Especializacao completa,acima de 3 ate 5,1,Vianopolis,72,mais de duas horas,54.4,Álcool,27.2,1,1,0,3.65,198.56,198.56,Vianopolis,27.2,970,15.343272727272728,1,0,0,1
83,83,Masculino,19 a 35 anos,Mestrado incompleto,acima de 1 ate 3,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,1,1,6.18,723.06,723.06,Anapolis,58.5,485,31.709659090909092,0,0,1,0
84,84,Feminino,36 a 59 anos,Mestre,acima de 5,3,Silvania,32,mais de duas horas,15.8,Diesel,8,1,1,0,6.18,97.644,97.644,Silvania,8,1818,4.821090909090909,1,0,0,1
85,85,Masculino,19 a 35 anos,Especializacao completa,acima de 3 ate 5,3,Silvania,32,mais de uma hora a duas horas,15.8,Gasolina,8,1,1,1,5.87,92.746,92.746,Silvania,8,970,4.512727272727273,0,0,0,0
86,86,Masculino,19 a 35 anos,Mestrado incompleto,acima de 1 ate 3,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,1,1,6.18,723.06,723.06,Anapolis,58.5,485,31.709659090909092,0,0,1,0
87,87,Feminino,19 a 35 anos,Graduacao completa,acima de 1 ate 3,1,Vianopolis,72,mais de duas horas,54.4,Gasolina,27.2,0,1,1,5.87,319.328,319.328,Vianopolis,27.2,485,14.743636363636364,0,0,1,1
88,88,Feminino,36 a 59 anos,Mestrado incompleto,acima de 3 ate 5,1,Anapolis,116,mais de duas horas,117,Gasolina,58.5,1,1,0,5.87,686.79,686.79,Anapolis,58.5,970,32.99931818181818,1,0,0,1
89,89,Masculino,19 a 35 anos,Doutorado incompleto,acima de 1 ate 3,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,1,1,6.18,723.06,723.06,Anapolis,58.5,485,31.709659090909092,0,0,1,0
90,90,Feminino,19 a 35 anos,Mestrado incompleto,acima de 3 ate 5,1,Anapolis,116,mais de duas horas,117,Gasolina,58.5,1,1,1,5.87,686.79,686.79,Anapolis,58.5,970,32.99931818181818,0,0,0,1
91,91,Feminino,36 a 59 anos,Graduacao completa,acima de 1 ate 3,1,Vianopolis,72,mais de duas horas,54.4,Diesel,27.2,0,1,0,6.18,336.192,336.192,Vianopolis,27.2,485,14.743636363636364,1,0,1,1
92,92,Masculino,36 a 59 anos,Especializacao completa,acima de 5,1,Vianopolis,72,mais de duas horas,54.4,Diesel,27.2,1,1,0,6.18,336.192,336.192,Vianopolis,27.2,1818,16.391709090909092,1,0,0,0
93,93,Masculino,19 a 35 anos,Especializacao completa,acima de 1 ate 3,1,Vianopolis,72,mais de duas horas,54.4,Diesel,27.2,0,1,1,6.18,336.192,336.192,Vianopolis,27.2,485,14.743636363636364,0,0,1,0
94,94,Feminino,36 a 59 anos,Especializacao completa,acima de 1 ate 3,1,Vianopolis,72,mais de duas horas,54.4,Álcool,27.2,0,1,0,3.65,198.56,198.56,Vianopolis,27.2,485,14.743636363636364,1,0,1,1
95,95,Feminino,36 a 59 anos,Especializacao completa,acima de 1 ate 3,1,Silvania,32,mais de uma hora a duas horas,15.8,Gasolina,8,0,1,0,5.87,92.746,92.746,Silvania,8,485,4.336363636363637,1,0,1,1
